연번,수송일자,호선,역번호,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
1,2023-01-01,1호선,150,서울역,승차,13.4,9.1,14.4,37.1,57.7,86.4,126.5,158.8,149.6,111.7,165.9,156.8,168.5,159.3,153.9,136.1,136.9,113,45.9,0.4
3,2023-01-01,1호선,151,시청,승차,3,4.6,6.6,12.1,14.9,18.4,30.8,38.9,34.8,44.8,52.7,55.9,59.9,61.6,41.9,39.4,32.2,20.6,9.1,0
5,2023-01-01,1호선,152,종각,승차,25.4,14.7,9.9,12.6,11.8,17.8,29.4,44.2,46.1,63.8,71.6,87.6,76.4,79.5,56.9,57.1,56.6,37.6,14.5,0.2
7,2023-01-01,1호선,153,종로3가,승차,13.8,10.7,7.6,9.7,17.4,24.4,40.4,54.9,57.5,71.4,83.1,87,83.6,67.5,54.9,47.7,41.5,29.8,10.2,0.4
9,2023-01-01,1호선,154,종로5가,승차,2.9,3,4.9,6.3,11.8,19.9,32.4,45.9,64.2,66.1,66.6,63.1,63.7,54.7,37,35.8,23.9,11.1,4.1,0
11,2023-01-01,1호선,155,동대문,승차,9.5,7.2,6.6,12.1,19.8,26.7,29,48.2,60.1,61.6,60.6,58.6,41.9,31.2,27.3,17.8,17.7,12.6,7,0.5
13,2023-01-01,1호선,156,신설동,승차,6.4,6.5,8.6,12.3,18.2,24.9,26.4,34.5,35.9,43.4,41.5,38.4,32.1,22.4,15.4,11.3,10.2,6.3,3.8,0.4
15,2023-01-01,1호선,157,제기동,승차,5.5,6,8.1,11.8,19.6,26.6,30.4,40,53.2,52,58.6,55.7,42.9,34.2,28.7,17.4,9.1,6,1.6,0.2
17,2023-01-01,1호선,158,청량리(서울시립대입구),승차,9.2,8.2,10.6,16.5,27.6,35.4,40,54.1,63.8,62.4,68.2,66.2,53.6,40.6,28.9,22.4,15.7,9.2,4.4,0
19,2023-01-01,1호선,159,동묘앞,승차,2.1,2.7,5.2,6.6,11,21.7,35.8,54.1,75.2,94.5,108.4,94.7,58.1,26.4,12.3,6.5,5.1,3.9,2.4,0
