PRDLST_NM,BSSH_NM,PRDT_SHAP_CD_NM
(구)본포뮬러젤리,(주)서흥헬스케어,젤리
+ 뼈건강,(주)한풍네이처팜,분말
100% 식물성 프로틴 케어,콜마비앤에이치(주)음성공장,분말
2030 에너지 올인원,광동헬스바이오(주) 2공장,정
211프로틴코어,코뉴,분말
2875탁,(주)메디바이오랩,정
28탁,(주)비오팜,분말
28탁티(T),(주)비오팜,정
28탁티(T)+,(주)메디바이오랩,정
30 Days Miracle BeautyPack,(주)서흥,정
30Days Miracle K-Beauty Pack,(주)서흥,정
3중케어 칼슘마그네슘비타민D,주식회사 대현에벤에셀 당진지점,정
3초습관 플러스타민 종합영양제,주)팜크로스,정
4050 에너지 올인원,광동헬스바이오(주) 2공장,정
50+멀티비타민미네랄,(주)서흥,캡슐
5육七 관절 타이밍,(주)유니쎌팜,정
60+ 에너지 올인원,광동헬스바이오(주) 2공장,정
7030칼슘마그비타,에이펙셀(주),캡슐
7030칼슘분말(원료),에이펙셀(주),분말
7030칼슘프리미엄,에이펙셀(주),캡슐
7030칼슘프리미엄,(주)다스코바이오,캡슐
7030칼슘프리미엄츄어블,에이펙셀(주),정
7030칼슘프리미엄츄어블,(주)다스코바이오,정
7030칼슘프리미엄플러스,에이펙셀(주),캡슐
8030칼슘,에이펙셀(주),캡슐
8030칼슘골드클레스,(주)다스코바이오,캡슐
8030칼슘분말(원료),에이펙셀(주),분말
8030칼슘프리미엄,에이펙셀(주),캡슐
8030칼슘프리미엄,(주)다스코바이오,캡슐
8030칼슘프리미엄츄어블,에이펙셀(주),정
8030칼슘프리미엄츄어블,(주)다스코바이오,정
8030칼슘프리미엄플러스,에이펙셀(주),캡슐
8030칼슘플러스,에이펙셀(주),캡슐
"815단단 코랄칼슘 마그네슘, 비타민D, 아연,멀티미네랄",엔피케이(주),정
ALGAE CALCIUM(전량수출용),주식회사 네추럴웨이,정
ATOMY TRI-PLUS CALCIUM(터키수출용),콜마비앤에이치(주)음성공장,정
All in one softgel,(주)서흥,캡슐
