PRDLST_NM,BSSH_NM,PRDT_SHAP_CD_NM
11종 혼합유산균,일동바이오사이언스(주),분말
6년근 고려홍삼정 PREMIUM,주식회사 성윤 에프엔지(F&G),액상
6년근 홍삼 자신만만 홍삼스틱,(주)일화,액상
7종혼합유산균(N),(주)바이텍 익산지점,분말
ATOMY VITAMIN C(브라질),콜마비앤에이치(주)세종3공장,분말
"CosmeHeal HEALTHY WHITE EfferGlow(수출용) (코스메힐 헬씨 화이트, 에퍼글로우﻿)",에프엔바이오(주),정
Ento Probiotics plus Blood sugar care (전량수출용),주식회사 아람,분말
KA-NE PLUS ZINC (수출용),에프엔바이오(주),정
L-Ergo Admixture(전량수출용),코스맥스바이오(주),정
Puffing red ginseng extract powder-J,(주)그린바이오,분말
고려홍삼농축액(23mg/g),케이지랩 주식회사,액상
낙산균(Naksan)(수출용),엔피케이(주),분말
남성건강엔 쏘팔메토 옥타코사놀,(주)케이지앤에프,캡슐
네이처드림 혈행에 좋은 알티지 오메가3 골드,주식회사한미양행,캡슐
뉴 마그네슘350+B6,엔피케이(주),정
다니스코 5종혼합유산균 100B,(주)케비젠,분말
당 케어,(주)화진바이오코스메틱,캡슐
데일리 퍼플 키즈 멀티비타젤리,코스맥스바이오(주),젤리
락토코커스 락티스 LCL-10®,(주)바이텍 익산지점,분말
락티플랜티바실러스 플란타룸 에이치엘오에스비22 (Lactiplantibacillus plantarum HLOSB22),주식회사 현대바이오랜드 안산,분말
로얄한국적송(전량수출용),코스맥스바이오(주),캡슐
리포좀 올인원 남성 · 여성 이뮨 멀티 종합 비타민 미네랄 + 비타민C 영양제,우리바이오(주),정
마이핏V멀티비타이뮨128,주식회사 네추럴웨이 포천 제2공장,기타
비오틴 효모 더 채움,엔피케이(주),정
비타민B 컴플렉스,(주)서흥헬스케어 2공장,정
쓰리플렉스 콜레스테롤∙ 혈당 ∙혈압,(주)케이지앤에프,캡슐
아스타·오메가,(주)한풍네이처팜,캡슐
온유로케어 채움루틴 블랙 포우먼 비오틴 히알루론산,(주)한풍네이처팜,정
제주도팔마마력정(전량수출용),농업회사법인지에이치내츄럴,액상
중원프로바이오틱스 유산균,(주)중원바이오팜,분말
혈당마스터 (Diabet master)(수출용),엔피케이(주),정
홍삼프리미엄유산균,엠에스바이오텍(주),분말
황작 황작고,(주)일화,액상
흑삼정에프,(주)메디언스,캡슐
'간'편함을 누리다 밀크씨슬 간 肝,(주)한풍네이처팜,정
(Heun) Love Your Body Weight Management for diet,동서바이오팜(주) 안성공장,정
(SS)에스에스스킨솔루션,에스에스바이오팜(주),정
(SS)에스에스혈행솔루션,에스에스바이오팜(주),정
(SS)에스에스혈행케어,에스에스바이오팜(주),정
(구) 눈에좋은 루테인+오메가3,(주)서흥,캡슐
(구) 무르핀,(주)서흥,정
(구) 저래도 옹,(주)씨티씨바이오,캡슐
(구) 팻다운 톡,(주)서흥,분말
(구)동아비타민C순(純),(주)서흥,정
(구)본포뮬러젤리,(주)서흥헬스케어,젤리
(구)츄어블오메가-3,(주)서흥,캡슐
(구)트리플러스,(주)서흥,캡슐
(구)프로메가 레볼루션,(주)서흥,캡슐
(수출용)해맑은아침,인성제약(주),액상
(수출용)해맑은아침3,인성제약(주),액상
(일본전량수출용)비타500 데일리스틱,이앤에스(주),분말
(전량수출용)비타민 홍삼 동충하초(Vitamin Red Ginseng Cordyceps),이앤에스(주),정
(전량수출용)아이토닉플러스(Eye tonic plus),이앤에스(주),캡슐
(전량수출용)일동 천년비책,이앤에스(주),캡슐
(태국전량수출용)비타500 데일리스틱,이앤에스(주),분말
(프로폴리스 구강스프레이) Propolis Throat Spray,유니크바이오텍(주),액상
+ 눈건강,(주)한국씨엔에스팜,캡슐
+ 뼈건강,(주)한풍네이처팜,분말
+면역비책 발효홍삼,광동헬스바이오(주),액상
+이너뷰티24h,코스맥스바이오(주),정
+착한비타민C,(주)메디오젠 충주공장,분말
