품목별(1),2024,2024,2024
품목별(1),매출액 (천원),국내판매액 (천원),수출액 (천원)
계,4013141069,3632972426,380168643
홍삼,863554248,781493957,82060291
비타민 및 무기질,699202611,599544700,99657911
개별인정제품,690286063,635230998,55055065
프로바이오틱스,639748886,581386875,58362011
EPA 및 DHA 함유 유지,239104798,214371377,24733420
밀크씨슬 추출물,130015368,121316818,8698549
프락토올리고당,78866186,77352306,1513880
가르시니아캄보지아추출물,51846309,49288633,2557675
포스파티딜세린,49459126,49151406,307720
엠에스엠,44880824,44071757,809067
알로에,43792422,43431200,361222
녹차추출물,41341451,35140793,6200658
은행잎 추출물,34837474,33199452,1638021
식이섬유,34173680,32673606,1500075
마리골드꽃추출물,33774808,31574803,2200005
난소화성말토덱스트린,30597388,28376739,2220650
쏘팔메토열매추출물,30188283,29860307,327976
테아닌,30151399,22128114,8023286
코엔자임Q10,27126497,20216572,6909924
단백질,25709827,24440345,1269482
뮤코다당?단백,25184767,25184767,0
프로폴리스추출물,24806776,23838276,968500
기타,17026094,16942238,83856
N-아세틸글루코사민,14363115,13681300,681815
바나바잎 추출물,13452152,13370531,81621
인삼,11724461,6960139,4764322
감마리놀렌산 함유 유지,11520635,11023425,497210
히알루론산,8665524,7237355,1428168
헤마토코쿠스추출물,7867029,7190664,676365
홍국,7632622,7632622,0
클로렐라,6818738,1649062,5169677
공액리놀레산,6105376,5588413,516964
알콕시글리세롤 함유 상어간유,4699152,4553629,145523
스피루리나,4504875,4504875,0
폴리덱스트로스,4468393,4468393,0
홍경천추출물,3670634,3670634,0
스쿠알렌,3527946,3410664,117282
옥타코사놀 함유 유지,3279290,3279290,0
키토산/키토올리고당,2987968,2980809,7159
필수지방산,2946870,2875020,71850
폴리감마글루탐산,1920065,1903683,16382
글루코사민,1700361,1652947,47414
식이섬유(보충용),1676384,1667825,8559
레시틴,1529988,1133952,396036
빌베리추출물,654317,654317,0
달맞이꽃종자 추출물,631974,631974,0
마늘,548446,548446,0
대두이소플라본,377957,298985,78972
엽록소 함유 식물,162477,162477,0
식물스테롤/식물스테롤에스테르,24955,24955,0
영지버섯자실체추출물,4078,0,4078
구아바잎 추출물,0,0,0
매실추출물,0,0,0
