연령(세) ＼ 영양소,에너지(kcal),단백질(g),동물성단백질(g),지방 섭취량(g),탄수화물(g),당(g),칼슘(mg),인(mg),철(mg),나트륨(mg),칼륨(mg),비타민A(μgRAE),티아민(mg),리보플라빈(mg),나이아신(mg),비타민C(mg),엽산(μgRAE)
1~2,1218.39,45.38,28.7,32.93,184.16,54.56,510.73,751.74,5.04,1348.65,1570.29,384.46,0.79,1.15,7.77,67.96,184.45
3~5,1443.22,49.38,28.94,40.04,219.45,61.04,463.47,799.47,6.17,1702.93,1685.25,357.44,0.89,1.19,8.57,65.99,194.08
6~11,1928.27,73.94,47.49,60.99,267.42,69.74,560.09,1080.87,7.84,2825.66,2263.61,456.34,1.29,1.7,12.93,76.82,261.31
12~18,2219.39,90.22,58.2,69.46,299.96,73.91,528.14,1215.07,9.56,3387.31,2634.45,484.23,1.6,2.04,15.81,77.12,282.49
19~29,2295.8,94.03,61.37,74.04,284.05,62.4,482.75,1210.26,10.79,3807.43,2710.82,400.87,1.54,1.97,17.2,63.75,284.93
30~49,2224.94,85.64,50.79,65.85,287.41,61.32,541.79,1187.19,10.48,3957.7,2865.26,411.9,1.36,1.95,14.8,67.2,318.67
50~64,2092.18,77.38,38.66,51.71,296.53,57.98,567.83,1179.93,10.88,3954.47,3117.4,427.68,1.28,1.84,13.51,81.61,375.29
65~,1869.5,69.29,30.35,41.25,289.99,54.85,539.09,1122.13,9.94,3513.95,3049.14,373.44,1.11,1.53,11.83,67.32,377.4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
