성별(1),영양소별(1),2020,2021,2022,2023,2024
성별(1),영양소별(1),비율 (%),비율 (%),비율 (%),비율 (%),비율 (%)
남자,에너지,96.3,94,92.1,92.7,94.3
남자,단백질,148.6,147.7,133.9,135.4,140.1
남자,식이섬유,108.8,108.9,89.3,88.7,89.8
남자,칼슘,67.8,70.1,69,70.3,71.1
남자,인,163.4,165.1,159.3,160.9,165.6
남자,나트륨,-,-,161.8,166.8,166.8
남자,칼륨,83.6,83.9,81.2,82.7,84.1
남자,마그네슘,96.1,97.8,94.4,94.4,95.6
남자,철,106.2,110.6,104.3,102.7,105.2
남자,아연,127.3,129.3,123.6,123.6,126.2
남자,비타민A(RE),-,-,-,-,-
남자,비타민A(RAE),56.5,59.8,56.8,57.8,58.9
남자,비타민D,32.5,34.6,33.1,32.6,33.4
남자,비타민E,67.4,67.6,65.9,67,68.1
남자,티아민,115.9,116.4,111.3,117.6,117.4
남자,리보플라빈,127.4,126.5,124.1,129.6,128.3
남자,나이아신,93.7,95.7,93.1,94.9,98.9
남자,엽산,84.1,86.6,84.7,86,86.2
남자,비타민C,68.4,77.6,75.4,77.1,70.6
여자,에너지,86.8,85.5,87.2,89,88.8
여자,단백질,124.8,126,119.4,120.1,121.2
여자,식이섬유,110.4,109.6,104.8,104.4,103.8
여자,칼슘,59.4,59.3,61.1,61.2,60.9
여자,인,124.9,126,125.8,127.1,126.9
여자,나트륨,-,-,117.6,117.9,119.2
여자,칼륨,67.9,68.2,67.7,68.1,68.5
여자,마그네슘,95.7,98.5,96,95.9,96.2
여자,철,80.3,83.1,80.8,80.5,81.9
여자,아연,115.8,116.8,112,112.4,113.1
여자,비타민A(RE),-,-,-,-,-
여자,비타민A(RAE),61.2,61.6,61.3,60.9,62.4
여자,비타민D,25.7,26.4,26.2,24.9,27.5
여자,비타민E,52.1,52.6,53,53,52.9
여자,티아민,90.6,91.1,93,93.5,92.4
여자,리보플라빈,118.8,118.7,122.7,122.3,121.4
여자,나이아신,74.6,77.6,77.8,76.9,77.5
여자,엽산,69.7,71.1,72.1,70.6,70.8
여자,비타민C,63.4,66.6,73.3,68.7,68.1
