num,product,type
1,유한생유산균,"프로바이오틱스, 아연"
2,모큐락+,국내 최초의 모발 특화 유산균
3,센스밸런스 콜라겐 스틱,"기능성 인정 콜라겐, 피부보습과 자외선케어까지 한번에"
4,센스밸런스 다운핏,"내몸을 가볍게하는 핑크워터, 센스밸런스 다운핏"
5,유한밀크씨슬,"밀크씨슬에 커큐민, 글루타치온, 아티초크로 완성시킨 .."
6,유한포스파티딜세린,인지력을 개선하는 합리적인 가격의 뇌건강 영양제(은행..
7,유한K2칼슘,부작용을 완화시킨 뼈로가는 고함량 칼슘 영양제
8,유한콜라겐,"제로슈가, 하루 한 포 , 물 없이 챙기는 나의 피부"
9,유한D3K1K2,"나의 토탈케어제품, 고함량 비타민 D에 비타민K1,K.."
10,유한루테인지아잔틴아스타잔틴,개별인정형 루테인지아잔틴 20mg와 아스타잔틴으로 챙..
11,센스밸런스 플러스,여성들의 건강을 위한 16가지 멀티비타민 & 미네랄 ..
12,엘레나 테아닌,질건강 +장건강+마음건강 까지 동시에 관리하는 프리미..
13,포켓부스터,활력을 위한 운동수행능력과 장건강을 동시에 케어하는 ..
14,유한 포텐업,기초 영양을 위한 11가지 비타민과 미네랄을 함유한 ..
15,와이즈바이옴 케어 엘레씬,
16,센스밸런스 헤모 츄,맛있는 츄어블 철분 영양제
17,엘레나 퀸,여성의 질 건강과 장건강을 케어하는 프리미엄 멀티 유..
18,센스밸런스 구미데이 멀티비타민&미네랄,기초 영양을 위한 11가지 비타민과 미네랄을 함유한 ..
19,엘레나 스틱,국내 최초 파우더 타입 UREX 로 온가족이 함께 먹..
20,유한 칼슘마그네슘D,뼈와 근육 건강을 위한 3종 복합기능성
21,와이즈바이옴케어 당큐락,국내 최초 혈당 케어 유산균
22,와이즈바이옴 패밀리 에스(S),우리 가족 장 건강을 위한 개별인정형 건강기능식품
23,덴마크 프로바이오틱스 츄,세계특허 프리미엄 유산균주 배합 아이 유산균
24,유한 덴티케어플러스+,"그린프로폴리스로 치아, 잇몸 관리하는 덴티케어플러스"
25,마그뮨,마그네슘 고함량 액상제제
26,덴마크 프리미엄 프로바이오틱스,프리미엄 장건강 케어;  국내 최초 균주 조합
27,유한 혈당케어 여주리버플러스,식후혈당과 간건강을 듀얼로 케어
28,와이즈헬스 유한 밸런스 혈당과 혈행,듀얼케어 혈당과 혈행케어를 동시에!
29,와이즈바이옴프로 위&장 듀얼케어,장건강과 위건강을 동시에 관리할 수 있는 이중기능성 ..
30,유한 코엔자임Q10,높은 혈압 감소에 도움을 줄 수 있음
31,유한 알티지 오메가3 미니,"혈중 중성지질개선, 혈행개선, 건조한 눈을 개선하여 .."
32,백수오골드,여성 갱년기 관리의 현명한 선택
33,유한 데일리케어 폴리코사놀5,쿠바산 폴리코사놀-사탕수수왁스알코올 / 레이델 폴리코..
34,와이즈바이옴 골드+,장건강을 위한 프리미엄 종합유산균
35,유한 백수오로얄,국내 최초 갱년기 여성 건강에 도움을 줄 수있는 개별..
36,유한 식물성MSM,"식물에서 추출한 식물성분 MSM, 관절 및 연골 건강.."
37,센스밸런스,여성 맞춤형 멀티비타민/미네랄 브랜드
38,유한 알티지 식물성오메가3,EPA 및 DHA 함유 유지 제품
39,데일리케어 유한 루테인지아잔틴,루테인지아잔틴복합추출물 눈건강 기능식품
40,유한 루테인지아잔틴플러스,루테인지아잔틴복합추출물과 비타민A외 눈 건강 관련 성..
41,엘레나,여성 질 건강에 도움을 줄 수 있는 개별인정형 건강기..
42,비타 바이탈씨 과립 레몬맛,한입에 톡 감각비타민C
43,유한 트리조인스타,뼈와 관절을 위한 3가지 맞춤성분
