num,product,product_type
1,락토골드 프리미엄,유산균제
2,메가루테인,기타
3,일동 관절진보원 프리미엄,기타
4,일동 리얼 콜라겐 프리미엄,기타
5,일동 모발솔루션 프리미엄,기타
6,일동 뮤코다당단백 콘드로이친 1500K,기타
7,일동 베베 플러스 유산균,기타
8,일동 브레인 피에스 징코,기타
9,일동 비타민D3 2000IU,기타
10,일동 비타민D3 5000IU,기타
11,일동 스노우 쿨멜팅 마그네슘 맥스,기타
12,일동 쏘팔메토코사놀 프리미엄,유산균제
13,일동 아이레즈 프리미엄,기타
14,일동 지속성 비타민C 1000,기타
15,일동 키즈 플러스 유산균,기타
16,일동 파워덴트 프리미엄,기타
17,일동 하이퍼 비타민C 3000,기타
18,일동 혈당케어엔 바나바,기타
19,코큐텐 100mg 맥스,기타
20,코큐텐 에이스 프리미엄,기타
21,키드큐 면역젤리,기타
22,키드큐 비타젤리,기타
23,키드큐 쾌변젤리,기타
24,키드큐 키즈플러스 젤리,기타
25,키드큐 홍삼젤리,기타
26,하이락토 더블액션,기타
27,하이락토 트리플 케어,기타
