"광고유형별(1)",2020.1/2,2020.2/2,2021.1/2,2021.2/2,2022.1/2,2022.2/2,2023.1/2,2023.2/2,2024.1/2,2024.2/2,2025.1/2
"광고유형별(1)",통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통),통수 (통)
"계",0.16,0.28,0.35,0.29,0.26,0.25,0.24,0.35,0.43,0.29,0.17
"도박",0.07,0.05,0.04,0.04,0.04,0.04,0.06,0.07,0.07,0.05,0.02
"불법대출",0.04,0.05,0.06,0.05,0.05,0.02,0.01,0.01,0.01,0.01,0.02
"금융",0.03,0.15,0.19,0.14,0.12,0.16,0.12,0.19,0.23,0.09,0.04
"통신가입",0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"성인",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.00
"불법의약품",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"기타",0.01,0.01,0.02,0.04,0.03,0.02,0.04,0.07,0.10,0.07,0.08
