연도,선거일,선거 종류,비고
2006년,5월 31일,제4회 전국동시지방선거,4년 주기 지방선거
2007년,12월 19일,제17대 대통령 선거,이명박 후보 당선
2008년,4월 9일,제18대 국회의원 선거,4년 주기 총선
2010년,6월 2일,제5회 전국동시지방선거,교육감 직선제 전면 도입
2012년,4월 11일,제19대 국회의원 선거,총선/대선 같은 해 실시
2012년,12월 19일,제18대 대통령 선거,박근혜 후보 당선
2014년,6월 4일,제6회 전국동시지방선거,사전투표제 첫 전국 실시
2016년,4월 13일,제20대 국회의원 선거,3당 체제 정립
2017년,5월 9일,제19대 대통령 선거,조기 대선 (문재인 후보 당선)
2018년,6월 13일,제7회 전국동시지방선거,4년 주기 지방선거
2020년,4월 15일,제21대 국회의원 선거,코로나19 상황 속 실시
2022년,3월 9일,제20대 대통령 선거,윤석열 후보 당선
2022년,6월 1일,제8회 전국동시지방선거,4년 주기 지방선거
2024년,4월 10일,제22대 국회의원 선거,4년 주기 총선
2025년,6월 3일,제21대 대통령 선거,조기 대선 (최근 실시)
