기준,구분,2017,2018,2019,2020,2021,2022,2023,2024 p),평균연체율,최근연체율,증감폭,최근3년평균,기준별_최근연체율_평균,기준별_평균연체율_평균,기준별_최근3년평균_평균,최근연체율_상대위험도,평균연체율_상대위험도,최근3년평균_상대위험도
산업분류별,"농업, 임업 및 어업",1.48,1.65,1.8,1.87,1.86,1.95,2.38,3.0,1.99875,3.0,1.52,2.4433333333333334,2.3706666666666667,1.5338333333333334,1.758888888888889,1.265466816647919,1.3031076822775183,1.3891345546430827
산업분류별,제조업,1.24,1.38,1.56,1.49,1.38,1.36,1.73,2.31,1.55625,2.31,1.07,1.8,2.3706666666666667,1.5338333333333334,1.758888888888889,0.9744094488188977,1.014614799521895,1.0233733417561592
산업분류별,건설업,1.45,1.69,1.92,1.73,1.6,1.6,2.13,2.79,1.86375,2.79,1.34,2.1733333333333333,2.3706666666666667,1.5338333333333334,1.758888888888889,1.1768841394825647,1.215092904487667,1.235628553379659
산업분류별,도매 및 소매업,1.72,1.87,1.9,1.67,1.45,1.5,2.14,2.94,1.89875,2.94,1.22,2.1933333333333334,2.3706666666666667,1.5338333333333334,1.758888888888889,1.2401574803149606,1.237911550581332,1.2469993682880607
산업분류별,운수 및 창고업,0.92,1.08,1.21,1.08,0.94,0.98,1.37,1.87,1.18125,1.87,0.95,1.406666666666667,2.3706666666666667,1.5338333333333334,1.758888888888889,0.7888076490438696,0.7701293056611973,0.7997473152242579
산업분류별,숙박 및 음식점업,1.2,1.27,1.27,1.08,0.93,0.94,1.72,2.75,1.395,2.75,1.55,1.8033333333333332,2.3706666666666667,1.5338333333333334,1.758888888888889,1.1600112485939258,0.9094860371617951,1.025268477574226
산업분류별,정보통신업,2.06,2.12,1.97,1.53,1.33,1.37,2.01,2.81,1.9,2.81,0.75,2.063333333333333,2.3706666666666667,1.5338333333333334,1.758888888888889,1.1853205849268842,1.2387265022275344,1.173089071383449
산업분류별,부동산업,0.61,0.63,0.7,0.64,0.55,0.52,0.76,1.15,0.6950000000000001,1.15,0.5399999999999999,0.8099999999999999,2.3706666666666667,1.5338333333333334,1.758888888888889,0.4850956130483689,0.4531131152884929,0.4605180037902716
산업분류별,"전문, 과학 및 기술 서비스업",1.81,1.85,1.84,1.6,1.3,1.29,1.78,2.4,1.73375,2.4,0.5899999999999999,1.8233333333333333,2.3706666666666667,1.5338333333333334,1.758888888888889,1.012373453318335,1.130337933282625,1.0366392924826278
산업분류별,"사업시설 관리, 사업지원 및 임대 서비스업",2.34,2.61,2.67,2.42,2.2,2.29,2.99,4.15,2.7087499999999998,4.15,1.8100000000000005,3.143333333333333,2.3706666666666667,1.5338333333333334,1.758888888888889,1.750562429696288,1.7660002173204388,1.7871130764371446
