기준,구분,2017,2018,2019,2020,2021,2022,2023,2024 p)
성별,남자,0.6,0.66,0.74,0.61,0.53,0.56,0.79,1.04
성별,여자,0.33,0.36,0.38,0.29,0.24,0.26,0.46,0.66
연령별,29세 이하,0.95,1.04,1.24,1.02,0.91,1.09,1.47,1.75
연령별,30~39세,0.59,0.65,0.73,0.56,0.47,0.53,0.83,1.11
연령별,40~49세,0.55,0.61,0.67,0.54,0.46,0.48,0.77,1.04
연령별,50~59세,0.46,0.49,0.54,0.43,0.37,0.38,0.56,0.79
연령별,60~69세,0.34,0.38,0.42,0.33,0.29,0.29,0.43,0.61
연령별,70세 이상,0.34,0.36,0.42,0.32,0.26,0.3,0.4,0.58
산업분류별,"농업, 임업 및 어업",1.03,1.16,1.38,1.41,1.41,1.39,1.74,1.95
산업분류별,제조업,0.51,0.59,0.68,0.59,0.52,0.54,0.7,0.95
산업분류별,건설업,0.54,0.66,0.78,0.62,0.54,0.57,0.83,1.11
산업분류별,도매 및 소매업,0.69,0.77,0.83,0.65,0.55,0.6,0.89,1.17
산업분류별,운수 및 창고업,0.33,0.39,0.48,0.37,0.33,0.36,0.55,0.75
산업분류별,숙박 및 음식점업,0.41,0.44,0.49,0.36,0.31,0.35,0.66,0.88
산업분류별,정보통신업,0.84,0.92,0.9,0.62,0.53,0.54,0.87,1.25
산업분류별,부동산업,0.29,0.28,0.33,0.27,0.23,0.21,0.29,0.44
산업분류별,"전문, 과학 및 기술 서비스업",0.85,0.84,0.94,0.74,0.55,0.56,0.76,1.04
산업분류별,"사업시설 관리, 사업지원 및 임대 서비스업",1.02,1.1,1.19,0.96,0.92,0.97,1.24,1.67
산업분류별,교육 서비스업,0.45,0.45,0.47,0.31,0.24,0.25,0.49,0.72
산업분류별,보건업 및 사회복지 서비스업,0.24,0.24,0.29,0.25,0.19,0.17,0.21,0.23
산업분류별,"예술, 스포츠 및 여가관련 서비스업",0.55,0.57,0.65,0.56,0.45,0.45,0.72,1.07
산업분류별,"협회 및 단체, 수리 및 기타 개인서비스업",0.53,0.66,0.71,0.51,0.45,0.5,0.72,0.96
산업분류별,기타,0.67,0.56,0.55,0.45,0.4,0.35,0.47,0.56
매출액별,3천만원 미만,0.86,0.93,1.01,0.8,0.69,0.74,1.07,1.52
매출액별,3~5천만원 미만,0.41,0.44,0.52,0.34,0.32,0.34,0.58,0.63
매출액별,5~10천만원 미만,0.36,0.4,0.45,0.32,0.28,0.29,0.53,0.56
매출액별,10~15천만원 미만,0.3,0.31,0.4,0.28,0.23,0.24,0.41,0.5
매출액별,15~30천만원 미만,0.27,0.28,0.34,0.26,0.22,0.22,0.36,0.44
매출액별,30~50천만원 미만,0.22,0.23,0.27,0.21,0.18,0.2,0.3,0.33
매출액별,50~100천만원 미만,0.17,0.18,0.19,0.18,0.16,0.15,0.21,0.27
매출액별,100천만원 이상,0.13,0.15,0.17,0.2,0.15,0.14,0.16,0.22
사업기간별,3년 미만,0.58,0.64,0.71,0.56,0.49,0.55,0.83,1.06
사업기간별,3~10년 미만,0.59,0.64,0.7,0.56,0.48,0.5,0.77,1.06
사업기간별,10년 이상,0.31,0.33,0.38,0.3,0.25,0.25,0.36,0.52
대출잔액별,1천만원 미만,1.82,1.88,2.02,1.89,1.48,1.33,1.2,1.39
대출잔액별,1~3천만원 미만,0.91,1.02,1.18,1.0,0.9,0.86,0.98,1.28
대출잔액별,3~5천만원 미만,0.68,0.77,0.83,0.64,0.6,0.61,0.85,1.17
대출잔액별,5~7천만원 미만,0.52,0.6,0.64,0.51,0.47,0.57,0.88,1.16
대출잔액별,7천만~1억원 미만,0.44,0.49,0.54,0.4,0.4,0.46,0.81,1.14
대출잔액별,1~2억원 미만,0.28,0.32,0.36,0.29,0.25,0.33,0.62,0.82
대출잔액별,2~3억원 미만,0.22,0.24,0.29,0.22,0.19,0.21,0.4,0.54
대출잔액별,3억원 이상,0.18,0.21,0.26,0.21,0.17,0.19,0.37,0.54
