기준,구분,2017,2018,2019,2020,2021,2022,2023,2024
성별,남자,1.39,1.52,1.61,1.47,1.31,1.35,1.89,2.55
성별,여자,1.03,1.08,1.1,0.93,0.78,0.78,1.26,1.97
연령별,29세 이하,2,2.24,2.21,1.87,1.78,2.1,2.87,3.71
연령별,30~39세,1.7,1.79,1.8,1.5,1.27,1.33,2.04,2.83
연령별,40~49세,1.41,1.55,1.67,1.49,1.29,1.29,1.97,2.81
연령별,50~59세,1.12,1.2,1.29,1.19,1.06,1.04,1.5,2.18
연령별,60~69세,0.8,0.89,0.94,0.87,0.77,0.77,1.1,1.64
연령별,70세 이상,0.63,0.7,0.76,0.7,0.62,0.66,0.94,1.42
산업분류별,"농업, 임업 및 어업",1.48,1.65,1.8,1.87,1.86,1.95,2.38,3
산업분류별,제조업,1.24,1.38,1.56,1.49,1.38,1.36,1.73,2.31
산업분류별,건설업,1.45,1.69,1.92,1.73,1.6,1.6,2.13,2.79
산업분류별,도매 및 소매업,1.72,1.87,1.9,1.67,1.45,1.5,2.14,2.94
산업분류별,운수 및 창고업,0.92,1.08,1.21,1.08,0.94,0.98,1.37,1.87
산업분류별,숙박 및 음식점업,1.2,1.27,1.27,1.08,0.93,0.94,1.72,2.75
산업분류별,정보통신업,2.06,2.12,1.97,1.53,1.33,1.37,2.01,2.81
산업분류별,부동산업,0.61,0.63,0.7,0.64,0.55,0.52,0.76,1.15
산업분류별,"전문, 과학 및 기술 서비스업",1.81,1.85,1.84,1.6,1.3,1.29,1.78,2.4
산업분류별,"사업시설 관리, 사업지원 및 임대 서비스업",2.34,2.61,2.67,2.42,2.2,2.29,2.99,4.15
산업분류별,교육 서비스업,1.21,1.26,1.24,0.96,0.72,0.69,1.35,2.22
산업분류별,보건업 및 사회복지 서비스업,0.45,0.46,0.47,0.42,0.34,0.31,0.37,0.42
산업분류별,"예술, 스포츠 및 여가관련 서비스업",1.4,1.5,1.61,1.51,1.26,1.24,1.97,2.9
산업분류별,"협회 및 단체, 수리 및 기타 개인서비스업",1.49,1.69,1.73,1.51,1.33,1.34,1.97,2.81
산업분류별,기타,1.63,1.34,1.15,0.95,0.81,0.71,0.83,1.04
매출액별,3천만원 미만,2.05,2.17,2.23,1.98,1.74,1.81,2.55,3.79
매출액별,3~5천만원 미만,1.04,1.13,1.2,0.95,0.86,0.85,1.38,1.6
매출액별,5~10천만원 미만,0.91,1.01,1.09,0.87,0.77,0.77,1.28,1.5
매출액별,10~15천만원 미만,0.72,0.8,0.92,0.76,0.65,0.62,1.06,1.3
매출액별,15~30천만원 미만,0.65,0.7,0.79,0.67,0.6,0.57,0.9,1.15
매출액별,30~50천만원 미만,0.52,0.56,0.64,0.57,0.47,0.5,0.73,0.89
매출액별,50~100천만원 미만,0.4,0.46,0.47,0.45,0.42,0.38,0.54,0.65
매출액별,100천만원 이상,0.31,0.32,0.34,0.4,0.34,0.32,0.43,0.45
사업기간별,3년 미만,1.5,1.63,1.66,1.43,1.28,1.33,1.88,2.49
사업기간별,3~10년 미만,1.53,1.64,1.73,1.55,1.34,1.35,2.01,2.93
사업기간별,10년 이상,0.68,0.73,0.78,0.72,0.63,0.62,0.9,1.36
대출잔액별,1천만원 미만,3.49,3.76,3.91,4.08,3.63,2.88,2.84,3.63
대출잔액별,1~3천만원 미만,1.94,2.15,2.24,2.2,2.04,2.01,2.34,3.04
대출잔액별,3~5천만원 미만,1.45,1.56,1.59,1.4,1.33,1.43,2.04,2.91
대출잔액별,5~7천만원 미만,1.03,1.15,1.2,1.04,0.97,1.17,1.94,2.77
대출잔액별,7천만~1억원 미만,0.83,0.89,0.97,0.81,0.79,0.92,1.78,2.72
대출잔액별,1~2억원 미만,0.58,0.66,0.73,0.64,0.56,0.64,1.28,1.94
대출잔액별,2~3억원 미만,0.45,0.54,0.63,0.52,0.41,0.46,0.86,1.33
대출잔액별,3억원 이상,0.43,0.51,0.63,0.54,0.42,0.48,0.98,1.47
