연령(5세)별,2020,2020,2021,2021,2022,2022,2023,2023,2024,2024
연령(5세)별,사망자수 (명),사망률 (십만명당),사망자수 (명),사망률 (십만명당),사망자수 (명),사망률 (십만명당),사망자수 (명),사망률 (십만명당),사망자수 (명),사망률 (십만명당)
계,2663,5.2,2722,5.3,2702,5.3,2509,4.9,2856,5.6
0세,4,1.4,4,1.5,3,1.2,0,0,2,0.9
1 - 4세,14,0.9,14,1,7,0.6,9,0.8,2,0.2
5 - 9세,7,0.3,4,0.2,6,0.3,5,0.2,3,0.2
10 - 14세,7,0.3,3,0.1,3,0.1,3,0.1,2,0.1
15 - 19세,5,0.2,4,0.2,1,0,0,0,4,0.2
20 - 24세,10,0.3,15,0.5,10,0.3,9,0.3,11,0.4
25 - 29세,12,0.3,16,0.5,17,0.5,19,0.6,18,0.5
30 - 34세,19,0.6,14,0.4,14,0.4,18,0.5,20,0.6
35 - 39세,38,1,27,0.8,15,0.4,30,0.9,22,0.7
40 - 44세,46,1.2,55,1.4,52,1.3,46,1.1,45,1.1
45 - 49세,96,2.2,89,2.1,95,2.3,73,1.9,64,1.7
50 - 54세,162,3.7,167,3.8,174,3.9,130,2.9,145,3.3
55 - 59세,254,6,235,5.7,230,5.7,188,4.6,224,5.3
60 - 64세,301,7.9,316,7.9,273,6.6,274,6.5,276,6.6
65 - 69세,252,9.6,250,8.7,302,9.8,291,8.9,311,8.9
70 - 74세,248,12.4,299,14.4,272,12.7,290,13,299,12.9
75 - 79세,320,20,321,20.1,299,18.6,271,16.4,333,19.2
80세 이상,868,45.8,889,43.9,929,42.8,853,37.1,1075,45
80 - 84세,368,33.1,377,32.4,397,31.8,364,27.7,431,32.4
85 - 89세,308,56,304,50.4,333,51.4,318,46.2,366,49.7
90세 이상,192,81.7,208,81.1,199,72.3,171,58,278,86.5
15세 미만,32,0.5,25,0.4,19,0.3,17,0.3,9,0.2
15 - 64세,943,2.6,938,2.6,881,2.4,787,2.2,829,2.3
65세 이상,1688,20.8,1759,20.5,1802,20,1705,18,2018,20.3
