입력날짜(search_day),랭킹(rank),가수이름(singer),곡타이틀(title)
2026-04-01,1,Hearts2Hearts (하츠투하츠),RUDE!
2026-04-01,2,IVE (아이브),BANG BANG
2026-04-01,3,KiiiKiii (키키),404 (New Era)
2026-04-01,4,방탄소년단,SWIM
2026-04-01,5,한로로,사랑하게 될 거야
2026-04-01,6,WOODZ,Drowning
2026-04-01,7,한로로,0+0
2026-04-01,8,화사 (HWASA),Good Goodbye
2026-04-01,9,IVE (아이브),BLACKHOLE
2026-04-01,10,ITZY (있지),THAT’S A NO NO
2026-04-01,11,이찬혁,멸종위기사랑
2026-04-01,12,방탄소년단,Body to Body
2026-04-01,13,도경수(D.O.),Popcorn
2026-04-01,14,YENA (최예나),캐치 캐치
2026-04-01,15,NMIXX,Blue Valentine
2026-04-01,16,HUNTR/X,Golden
2026-04-01,17,BLACKPINK,뛰어(JUMP)
2026-04-01,18,로제(ROSÉ),toxic till the end
2026-04-01,19,장한음,WANNA
2026-04-01,20,10CM,너에게 닿기를
2026-04-01,21,BLACKPINK,GO
2026-04-01,22,아일릿(ILLIT),NOT CUTE ANYMORE
2026-04-01,23,제니 (JENNIE),like JENNIE
2026-04-01,24,TWS (투어스),OVERDRIVE
2026-04-01,25,카더가든,그대 작은 나의 세상이 되어
2026-04-01,26,Hearts2Hearts (하츠투하츠),FOCUS
2026-04-01,27,다비치,타임캡슐
2026-04-01,28,한로로,입춘
2026-04-01,29,LE SSERAFIM (르세라핌),SPAGHETTI (feat. j-hope of BTS)
2026-04-01,30,AKMU(악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
2026-04-01,31,aespa,Whiplash
2026-04-01,32,박효신,AE
2026-04-01,33,DAY6 (데이식스),한 페이지가 될 수 있게
2026-04-01,34,임현정,사랑은 봄비처럼... 이별은 겨울비처럼
2026-04-01,35,TWS (투어스),첫 만남은 계획대로 되지 않아
2026-04-01,36,ALLDAY PROJECT,ONE MORE TIME
2026-04-01,37,DAY6 (데이식스),HAPPY
2026-04-01,38,조째즈,모르시나요(PROD.로코베리)
2026-04-01,39,IVE (아이브),REBEL HEART
2026-04-01,40,로이킴,내게 사랑이 뭐냐고 물어본다면
2026-04-01,41,ALLDAY PROJECT,FAMOUS
2026-04-01,42,김하온(HAON),"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)"
2026-04-01,43,PLAVE,흥흥흥 (feat. SOLE)
2026-04-01,44,이무진,청춘만화
2026-04-01,45,IVE (아이브),I AM
2026-04-01,46,로제(ROSÉ),APT.
2026-04-01,47,황가람,나는 반딧불
2026-04-01,48,이무진,에피소드
2026-04-01,49,DAY6 (데이식스),Welcome to the Show
2026-04-01,50,Hearts2Hearts (하츠투하츠),STYLE
2026-04-01,51,IVE (아이브),XOXZ
2026-04-01,52,폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
2026-04-01,53,이창섭,천상연
2026-04-01,54,QWER,고민중독
2026-04-01,55,Saja Boys,Soda Pop
2026-04-01,56,로이킴,달리 표현할 수 없어요
2026-04-01,57,Lady Gaga(레이디 가가),Die With A Smile
2026-04-01,58,NewJeans,Hype Boy
2026-04-01,59,aespa,Supernova
2026-04-01,60,KiiiKiii (키키),I DO ME
2026-04-01,61,멜로망스(MeloMance),사랑인가 봐
2026-04-01,62,잔나비,주저하는 연인들을 위해
2026-04-01,63,TWS (투어스),다시 만난 오늘
2026-04-01,64,NewJeans,Ditto
2026-04-01,65,아일릿(ILLIT),Magnetic
2026-04-01,66,DAY6 (데이식스),예뻤어
2026-04-01,67,이클립스 (ECLIPSE),소나기
2026-04-01,68,DAY6 (데이식스),Congratulations
2026-04-01,69,G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)"
2026-04-01,70,원필 (DAY6),사랑병동
2026-04-01,71,LE SSERAFIM (르세라핌),HOT
2026-04-01,72,제니 (JENNIE),Mantra
